time(UTC),T2m ,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060110:0600,22.96,68.5,0.0,-0.0,0.0,-12.4,8.41,88.0,102271.0
20060110:0700,22.91,68.9,0.0,-0.0,0.0,7.0,8.48,90.0,102222.0
20060110:0800,22.88,68.9,0.0,-0.0,0.0,-0.35,8.55,90.0,102162.0
20060110:0900,22.92,68.55,0.0,-0.0,0.0,-26.4,8.41,91.0,102152.0
20060110:1000,23.16,65.3,0.0,-0.0,0.0,29.6,8.0,91.0,102192.0
20060110:1100,23.15,67.3,0.0,-0.0,0.0,-12.8,8.07,90.0,102192.0
20060110:1200,23.14,68.45,0.0,-0.0,0.0,-13.6,8.21,91.0,102202.0
20060110:1300,23.18,69.25,108.0,380.2,50.0,14.2,8.0,93.0,102251.0
20060110:1400,23.15,71.05,127.0,11.58,123.0,2.4,7.72,95.0,102311.0
20060110:1500,23.17,72.15,498.0,793.83,98.0,2.0,7.72,96.0,102331.0
20060110:1600,23.16,73.0,489.0,359.48,267.0,-12.0,7.72,97.0,102301.0
20060110:1700,23.18,73.2,469.0,203.38,331.0,-3.6,7.52,98.0,102232.0
20060110:1800,23.16,73.35,491.0,237.3,329.0,-2.35,7.24,99.0,102132.0
20060110:1900,23.08,73.85,471.0,292.2,287.0,-21.4,7.24,97.0,102062.0
20060110:2000,23.04,74.8,359.0,242.72,232.0,5.8,7.45,92.0,102002.0
20060110:2100,22.96,75.35,344.0,696.37,86.0,-2.6,7.66,86.0,101992.0
20060110:2200,23.09,71.7,98.0,131.93,74.0,-3.2,7.59,81.0,102022.0
20060110:2300,22.99,72.2,0.0,-0.0,0.0,0.0,7.66,79.0,102022.0
20060111:0000,22.96,72.15,0.0,-0.0,0.0,3.6,7.45,78.0,102072.0
20060111:0100,22.97,72.35,0.0,-0.0,0.0,361.85,7.1,79.0,102082.0
20060111:0200,23.0,72.85,0.0,-0.0,0.0,-7.8,7.17,80.0,102102.0
20060111:0300,23.03,73.2,0.0,-0.0,0.0,3.6,7.03,80.0,102102.0
20060111:0400,23.05,73.8,0.0,-0.0,0.0,-2.6,6.97,80.0,102062.0
20060111:0500,23.11,73.8,0.0,-0.0,0.0,3.0,7.1,82.0,102012.0
20060111:0600,23.15,74.4,0.0,-0.0,0.0,12.0,7.1,88.0,101972.0
20060111:0700,23.11,75.2,0.0,-0.0,0.0,9.4,7.1,92.0,101932.0
20060111:0800,23.01,75.95,0.0,-0.0,0.0,-9.2,6.9,94.0,101912.0
20060111:0900,22.96,76.45,0.0,-0.0,0.0,3.8,6.41,93.0,101862.0
20060111:1000,23.15,74.3,0.0,-0.0,0.0,19.6,5.38,95.0,101892.0
20060111:1100,23.11,74.85,0.0,-0.0,0.0,-22.2,5.59,93.0,101882.0
20060111:1200,23.11,75.4,0.0,-0.0,0.0,-2.8,5.79,92.0,101852.0
20060111:1300,23.07,76.55,104.0,360.49,49.0,3.6,5.59,89.0,101922.0
20060111:1400,23.04,78.05,304.0,647.98,80.0,2.6,5.1,89.0,101992.0
20060111:1500,23.03,79.1,388.0,364.56,204.0,-5.2,4.62,91.0,102032.0
20060111:1600,22.94,80.0,465.0,295.72,282.0,10.8,4.34,92.0,102012.0
20060111:1700,22.92,80.55,694.0,857.04,111.0,6.2,3.93,86.0,101932.0
20060111:1800,22.92,80.85,528.0,306.67,318.0,-6.8,3.45,72.0,101842.0
20060111:1900,22.8,81.7,635.0,833.72,108.0,-12.0,3.38,55.0,101782.0
20060111:2000,22.72,82.15,509.0,777.81,100.0,-2.6,3.86,47.0,101722.0
20060111:2100,22.74,82.05,336.0,672.55,85.0,-1.75,4.28,48.0,101702.0
20060111:2200,22.63,84.2,140.0,455.0,56.0,2.0,4.48,54.0,101772.0
20060111:2300,22.51,84.85,0.0,-0.0,0.0,-2.6,4.07,52.0,101772.0
20060112:0000,22.46,85.0,0.0,-0.0,0.0,0.35,4.0,49.0,101772.0
20060112:0100,22.4,85.25,0.0,-0.0,0.0,361.45,4.0,49.0,101792.0
20060112:0200,22.36,85.4,0.0,-0.0,0.0,-0.8,3.93,54.0,101782.0
20060112:0300,22.36,85.75,0.0,-0.0,0.0,1.4,4.0,55.0,101812.0
20060112:0400,22.34,85.95,0.0,-0.0,0.0,3.8,4.21,46.0,101842.0
20060112:0500,22.21,86.55,0.0,-0.0,0.0,1.0,4.48,41.0,101792.0
20060112:0600,22.06,86.75,0.0,-0.0,0.0,0.0,4.9,39.0,101742.0
20060112:0700,21.91,86.65,0.0,-0.0,0.0,-8.8,5.31,31.0,101692.0
20060112:0800,21.77,86.0,0.0,-0.0,0.0,-1.0,5.52,27.0,101612.0
20060112:0900,21.68,85.25,0.0,-0.0,0.0,1.0,5.52,27.0,101592.0
20060112:1000,21.53,80.05,0.0,-0.0,0.0,-1.55,5.38,32.0,101622.0
20060112:1100,21.58,79.65,0.0,-0.0,0.0,0.35,5.17,33.0,101642.0
20060112:1200,21.65,80.25,0.0,-0.0,0.0,3.6,5.17,33.0,101702.0
20060112:1300,21.73,81.35,103.0,360.25,48.0,-0.8,5.38,27.0,101742.0
20060112:1400,21.77,83.3,302.0,644.17,79.0,5.2,5.66,25.0,101782.0
20060112:1500,21.84,85.25,483.0,765.35,96.0,1.35,5.93,29.0,101862.0
20060112:1600,21.9,87.0,618.0,825.54,106.0,3.6,5.86,36.0,101792.0
20060112:1700,21.99,88.25,692.0,851.86,111.0,2.8,5.79,43.0,101762.0
20060112:1800,22.11,88.55,697.0,853.07,111.0,2.0,5.72,48.0,101642.0
20060112:1900,22.29,88.45,634.0,828.91,108.0,-1.2,5.59,53.0,101592.0
20060112:2000,22.42,88.35,510.0,777.67,99.0,1.0,5.1,56.0,101512.0
20060112:2100,22.57,88.25,337.0,670.27,85.0,-1.15,4.83,60.0,101542.0
20060112:2200,22.55,88.95,142.0,459.02,56.0,-2.6,4.41,63.0,101552.0
20060112:2300,22.63,89.35,0.0,-0.0,0.0,-1.6,4.62,66.0,101572.0
20060113:0000,22.72,89.6,0.0,-0.0,0.0,-0.2,4.9,75.0,101582.0
20060113:0100,22.84,89.2,0.0,-0.0,0.0,373.25,5.59,79.0,101612.0
20060113:0200,22.89,89.0,0.0,-0.0,0.0,2.15,6.0,81.0,101622.0
20060113:0300,22.93,88.8,0.0,-0.0,0.0,-1.55,6.34,84.0,101642.0
20060113:0400,22.92,88.7,0.0,-0.0,0.0,0.75,6.07,85.0,101612.0
20060113:0500,22.93,88.55,0.0,-0.0,0.0,0.2,5.38,82.0,101632.0
20060113:0600,22.91,88.55,0.0,-0.0,0.0,-0.4,4.9,81.0,101582.0
20060113:0700,22.86,88.9,0.0,-0.0,0.0,2.0,4.9,85.0,101542.0
20060113:0800,22.88,88.95,0.0,-0.0,0.0,3.0,4.55,90.0,101522.0
20060113:0900,22.92,88.85,0.0,-0.0,0.0,-4.2,4.34,94.0,101472.0
20060113:1000,22.87,88.65,0.0,-0.0,0.0,-0.2,3.59,95.0,101472.0
20060113:1100,22.96,88.3,0.0,-0.0,0.0,2.2,3.45,100.0,101482.0
20060113:1200,23.06,87.85,0.0,-0.0,0.0,10.2,3.1,104.0,101542.0
20060113:1300,23.1,87.85,102.0,353.26,48.0,-2.6,2.76,101.0,101602.0
20060113:1400,23.09,88.3,300.0,637.32,79.0,-2.2,2.34,92.0,101682.0
20060113:1500,23.13,88.35,480.0,757.9,96.0,0.2,2.0,93.0,101742.0
20060113:1600,23.19,88.05,614.0,818.78,105.0,5.4,2.07,103.0,101712.0
20060113:1700,23.32,87.45,526.0,323.14,305.0,-1.15,2.14,116.0,101632.0
